AssetValue;Type;Name;Description;Priority;ItemStatus;ReportedDate;DueDate;CompletionDate;ScheduleTypeValue;MeterReading;Reporter
MOWER-01;Status;Initial intake;Mower taken into the fleet, visual check OK, hour-meter noted.;;Done;2024-04-01;;2024-04-01;;180;GardenAdmin
MOWER-02;Status;Initial intake;Mower taken into the fleet, minor paint scratches on deck recorded.;;Done;2024-05-15;;2024-05-15;;120;GardenAdmin
MOWER-03;Status;Initial intake;New machine accepted from dealer.;;Done;2026-03-02;;2026-03-02;;5;Carl Boss
PICKUP-01;Status;Initial intake;New vehicle accepted, key card and papers with dispatch.;;Done;2023-08-10;;2023-08-10;;145;GardenAdmin
PICKUP-02;Status;Initial intake;Used vehicle accepted, minor stone chips in windshield.;;Done;2024-02-20;;2024-02-20;;34280;GardenAdmin
SHED-NORTH;Status;Visual check Q1/2026;Door closes properly, lighting OK, floor dry.;;Done;2026-03-15;;2026-03-15;;;Carl Boss
PUMP-02;Status;Season start 2026;Pump back in service after winter shutdown, pressure OK.;;Done;2026-03-25;;2026-03-25;;;Henry Seed
MOWER-01;Defect;Mower deck won't raise;Hydraulic lift on the deck does not respond. Likely a blocked hydraulic line.;High;Open;2026-05-04;;;;220;Joe Sales
MOWER-01;Defect;Seat switch bouncing;Mower cuts out briefly when crossing bumps. Check seat contact.;Low;Open;2026-05-10;;;;225;Joe Sales
MOWER-02;Defect;Uneven mowing result;Streaks on the right — likely a blade is dull or the belt is loose.;Medium;Open;2026-05-08;;;;310;Henry Seed
MOWER-03;Defect;Stiff steering;Steering wheel is hard to turn, especially at standstill. Steering head bearing?;Medium;Open;2026-05-12;;;;42;Carl Boss
MOWER-04;Defect;Pull cord jams;Starter only turns over in jerks, the cord does not retract smoothly.;Medium;Open;2026-05-09;;;;;Joe Sales
PUMP-01;Defect;Pump pressure too low;Pressure in the irrigation system drops after a few minutes of operation. Check the filter.;Medium;Open;2026-05-06;;;;;Henry Seed
PUMP-03;Defect;Pump won't start;Motor hums, pump does not spin up. Capacitor likely defective. Sump pump removed, in storage.;High;Open;2026-04-22;;;;;Henry Seed
PICKUP-01;Defect;Rear brakes squeal;Loud squeal especially in wet weather. Replace brake pads.;Medium;Open;2026-04-30;;;;48200;Joe Sales
